"","region","district","year","pop"
"2535","Upper East","Builsa South",2024,41045.5415396672
"2536","Upper East","Builsa North",2024,62238.9183255108
"2537","Upper East","Binduri",2024,77931.1161058904
"2538","Upper East","Pusiga",2024,88277.6155671692
"2539","Upper East","Bawku Municipal",2024,137856.505231796
"2540","Savannah","West Gonja",2024,72473.2547661252
"2541","Northern","Mion",2024,108437.72220815
"2542","Northern","Yendi",2024,168992.12590929
"2543","Northern","Tolon",2024,137264.710811134
"2544","Northern","Kumbungu",2024,116626.089043221
"2545","Northern East","West Mamprusi",2024,195439.770932819
"2546","Northern East","Mamprugu-Moagduri",2024,75900.9519467596
"2547","Northern","Zabzugu",2024,92069.6109308172
"2548","Northern","Tatale-Sangule",2024,82866.5436272547
"2549","Bono East","Sene East",2024,79296.0074648752
"2550","Bono East","Sene West",2024,79250.8395252251
"2551","Ahafo","Asutifi North",2024,82401.3128566248
"2552","Ashanti","Ahafo Ano North",2024,100323.028450053
"2553","Ahafo","Asutifi South",2024,79536.8661403973
"2554","Bono East","Techiman Municipal",2024,285554.623713304
"2555","Savannah","North Gonja",2024,67758.1759183183
"2556","Greater Accra","Tema West",2024,240640.602554422
"2557","Greater Accra","Ashaiman",2024,235810.818710715
"2558","Greater Accra","Kpone-Katamanso",2024,474310.949808462
"2559","Upper East","Tempane",2024,108153.881547553
"2560","Upper East","Bolgatanga East",2024,47747.2538691591
"2561","Northern East","Bunkpurugu -Nakpanduri",2024,91336.7028078623
"2562","Savannah","North-East Gonja",2024,43195.2985260468
"2563","Northern","Nanton",2024,52263.0493885987
"2564","Bono","Berekum West",2024,49652.0205060747
"2565","Bono East","Pru",2024,129345.866545209
"2566","Eastern","Fanteakwa South",2024,56181.1139928624
"2567","Eastern","New Juaben South",2024,153579.265442496
"2568","Eastern","Akwapim North",2024,109465.684564129
"2569","Volta","Keta",2024,88597.755509723
"2570","Ashanti","Adansi Akrofuom",2024,53621.3680861443
"2571","Ashanti","Adansi North",2024,59315.6460327189
"2572","Ashanti","Obuasi East",2024,118294.03545817
"2573","Ashanti","Amansie West",2024,120084.821399501
"2574","Ashanti","Atwima Nwabiagya North",2024,147244.548362648
"2575","Ashanti","Oforikrom",2024,239081.179623809
"2576","Ashanti","Old Tafo",2024,127548.765944958
"2577","Ashanti","Asokwa",2024,146396.34943682
"2578","Greater Accra","Ayawaso East",2024,57476.1709136963
"2579","Greater Accra","Ayawaso North",2024,70918.8502159119
"2580","Greater Accra","Ayawaso Central",2024,103362.134054184
"2581","Ashanti","Kwadaso",2024,167359.403053194
"2582","Ashanti","Suame",2024,163695.576958656
"2583","Ashanti","Asokore Mampong",2024,205690.082251847
"2584","Ashanti","Afigya Kwabre South",2024,245874.61354728
"2585","Ashanti","Ejisu",2024,203261.717538832
"2586","Ashanti","Ahafo Ano South East",2024,63986.7902911697
"2587","Greater Accra","Korle-Klottey",2024,76722.6150142252
"2588","Greater Accra","Ablekuma West",2024,157205.455971718
"2589","Greater Accra","Ablekuma Central",2024,191864.540563107
"2590","Greater Accra","Krowor",2024,152571.590752661
"2591","Greater Accra","Ga North",2024,303542.153852634
"2592","Greater Accra","Weija-Gbawe",2024,224463.012291867
"2593","Greater Accra","Ablekuma North",2024,167175.142946243
"2594","Eastern","Birim south",2024,52988.6466729809
"2595","Eastern","Birim Central",2024,79464.0143610276
"2596","Eastern","Abuakwa North",2024,98388.7689271681
"2597","Eastern","Atiwa East",2024,74310.3985374905
"2598","Central","Awutu Senya East",2024,249575.153087758
"2599","Oti","Kadjebi",2024,79457.4746418595
"2600","Ashanti","Kumasi",2024,509792.602067858
"2601","Greater Accra","Tema",2024,162690.145466059
"2602","Greater Accra","Ga South",2024,360257.185922689
"2603","Western","Sekondi-Takoradi",2024,266273.313717334
"2604","Western","Effia-Kwesimintsim",2024,197993.610899851
"2605","Northern","Sagnarigu",2024,318054.75193383
"2606","Northern","Tamale",2024,478920.793533513
"2607","Central","Cape Coast",2024,211595.800619245
"2608","Greater Accra","Accra Metro",2024,317164.053289212
"2609","Greater Accra","Okai Koi North",2024,175451.215925574
"2610","Oti","Guan District",2024,31116.2395706624
"2611","Greater Accra","Ledzokuku",2025,226881.319344729
"2612","Northern East","Chereponi",2025,98477.5772406673
"2613","Upper West","Wa Municipal",2025,224908.886778946
"2614","Upper West","Jirapa",2025,101505.985687796
"2615","Upper West","Sissala West",2025,71738.5152912056
"2616","Upper West","Lambussie",2025,54835.4729978954
"2617","Upper East","Bolgatanga Municipal",2025,156411.190214427
"2618","Upper East","Bongo",2025,136660.197724498
"2619","Upper East","Kasena-Nankana West",2025,91453.5067825913
"2620","Upper West","Wa West",2025,101359.655102183
"2621","Savannah","Sawla-Tuna-Kalba",2025,130787.024205278
"2622","Upper West","Sissala East",2025,90945.8843313595
"2623","Upper East","Kasena-Nankana",2025,120382.481080093
"2624","Northern East","Yunyoo-Nasuan",2025,65114.654006077
"2625","Upper East","Garu",2025,66948.0390388956
"2626","Northern East","East Mamprusi",2025,210934.546091448
"2627","Upper East","Bawku West",2025,161480.411066686
"2628","Bono","Dormaa East",2025,74495.9276920184
"2629","Bono","Berekum",2025,122660.344746947
"2630","Bono","Jaman South",2025,122956.219650971
"2631","Bono","Sunyani West",2025,154958.498372952
"2632","Ahafo","Asunafo North",2025,169481.741741807
"2633","Bono East","Nkoranza North",2025,63157.365304024
"2634","Bono East","Kintampo South",2025,110602.778141038
"2635","Ahafo","Tano North",2025,105731.172411895
"2636","Volta","Ketu North",2025,121922.120294106
