"","district_final","year","cases"
"1670","ketu south",2023,10
"1671","ketu south",2024,4
"1672","kintampo north",2005,1
"1673","kintampo north",2011,3
"1674","kintampo north",2012,1
"1675","kintampo north",2014,2
"1676","kintampo north",2016,2
"1677","kintampo north",2017,7
"1678","kintampo north",2018,5
"1679","kintampo north",2019,5
"1680","kintampo north",2021,6
"1681","kintampo north",2022,19
"1682","kintampo north",2023,5
"1683","kintampo north",2024,10
"1684","kintampo south",2011,1
"1685","kintampo south",2012,3
"1686","kintampo south",2013,3
"1687","kintampo south",2014,1
"1688","kintampo south",2015,3
"1689","kintampo south",2016,2
"1690","kintampo south",2017,1
"1691","kintampo south",2018,6
"1692","kintampo south",2019,4
"1693","kintampo south",2020,7
"1694","kintampo south",2021,10
"1695","kintampo south",2022,7
"1696","kintampo south",2023,4
"1697","kintampo south",2024,3
"1698","komenda edna eguafo abirem",2005,3
"1699","komenda edna eguafo abirem",2008,1
"1700","komenda edna eguafo abirem",2009,1
"1701","komenda edna eguafo abirem",2010,4
"1702","komenda edna eguafo abirem",2011,2
"1703","komenda edna eguafo abirem",2013,2
"1704","komenda edna eguafo abirem",2015,2
"1705","komenda edna eguafo abirem",2016,1
"1706","komenda edna eguafo abirem",2018,1
"1707","komenda edna eguafo abirem",2019,4
"1708","komenda edna eguafo abirem",2020,2
"1709","komenda edna eguafo abirem",2021,6
"1710","komenda edna eguafo abirem",2022,5
"1711","komenda edna eguafo abirem",2023,4
"1712","komenda edna eguafo abirem",2024,7
"1713","korle klottey",2016,1
"1714","korle klottey",2017,2
"1715","korle klottey",2019,1
"1716","korle klottey",2021,3
"1717","korle klottey",2022,9
"1718","korle klottey",2023,1
"1719","korle klottey",2024,9
"1720","kpandai",2010,1
"1721","kpandai",2011,2
"1722","kpandai",2012,1
"1723","kpandai",2014,1
"1724","kpandai",2015,1
"1725","kpandai",2016,1
"1726","kpandai",2018,2
"1727","kpandai",2019,2
"1728","kpandai",2020,3
"1729","kpandai",2021,3
"1730","kpandai",2022,8
"1731","kpandai",2023,1
"1732","kpandai",2024,3
"1733","kpando",2005,2
"1734","kpando",2010,1
"1735","kpando",2011,1
"1736","kpando",2013,3
"1737","kpando",2014,4
"1738","kpando",2015,2
"1739","kpando",2016,2
"1740","kpando",2017,1
"1741","kpando",2019,4
"1742","kpando",2020,1
"1743","kpando",2022,3
"1744","kpando",2023,6
"1745","kpando",2024,3
"1746","kpone katamanso",2009,1
"1747","kpone katamanso",2013,1
"1748","kpone katamanso",2015,1
"1749","kpone katamanso",2016,1
"1750","kpone katamanso",2017,4
"1751","kpone katamanso",2018,1
"1752","kpone katamanso",2019,9
"1753","kpone katamanso",2020,1
"1754","kpone katamanso",2021,2
"1755","kpone katamanso",2022,5
"1756","kpone katamanso",2023,2
"1757","kpone katamanso",2024,2
"1758","krachi east",2008,4
"1759","krachi east",2009,1
"1760","krachi east",2010,12
"1761","krachi east",2011,2
"1762","krachi east",2012,2
"1763","krachi east",2013,4
"1764","krachi east",2014,6
"1765","krachi east",2015,2
"1766","krachi east",2016,6
"1767","krachi east",2017,11
"1768","krachi east",2018,7
"1769","krachi east",2019,7
"1770","krachi east",2020,4
"1771","krachi east",2021,7
"1772","krachi east",2022,10
"1773","krachi east",2023,8
"1774","krachi east",2024,7
"1775","krachi nchumuru",2005,1
"1776","krachi nchumuru",2009,1
"1777","krachi nchumuru",2010,2
"1778","krachi nchumuru",2011,2
"1779","krachi nchumuru",2020,6
"1780","krachi nchumuru",2021,2
"1781","krachi nchumuru",2022,8
"1782","krachi nchumuru",2023,10
"1783","krachi nchumuru",2024,13
"1784","krachi west",2012,1
"1785","krachi west",2013,1
"1786","krachi west",2017,1
"1787","krachi west",2018,1
"1788","krachi west",2019,4
"1789","krachi west",2020,2
"1790","krachi west",2021,2
"1791","krachi west",2022,8
"1792","krachi west",2023,4
"1793","krachi west",2024,4
"1794","krowor",2021,3
"1795","krowor",2022,5
"1796","krowor",2023,3
"1797","krowor",2024,3
"1798","kumasi",2016,1
"1799","kumasi",2018,5
"1800","kumasi",2019,6
"1801","kumasi",2021,2
"1802","kumasi",2022,4
"1803","kumasi",2023,7
"1804","kumasi",2024,10
"1805","kumbungu",2008,4
"1806","kumbungu",2010,4
"1807","kumbungu",2011,2
"1808","kumbungu",2020,1
"1809","kumbungu",2021,1
"1810","kumbungu",2022,1
"1811","kumbungu",2023,4
"1812","kumbungu",2024,5
"1813","kwabre east",2006,4
"1814","kwabre east",2008,4
"1815","kwabre east",2009,1
"1816","kwabre east",2010,3
"1817","kwabre east",2011,2
"1818","kwabre east",2012,2
"1819","kwabre east",2013,1
"1820","kwabre east",2014,1
"1821","kwabre east",2015,1
"1822","kwabre east",2016,2
"1823","kwabre east",2017,1
"1824","kwabre east",2018,8
"1825","kwabre east",2019,13
"1826","kwabre east",2020,2
"1827","kwabre east",2021,8
"1828","kwabre east",2022,8
"1829","kwabre east",2023,4
"1830","kwabre east",2024,4
"1831","kwadaso",2020,2
"1832","kwadaso",2021,3
"1833","kwadaso",2022,1
"1834","kwadaso",2023,1
"1835","kwadaso",2024,2
"1836","kwaebibirem",2006,4
"1837","kwaebibirem",2008,3
"1838","kwaebibirem",2010,1
"1839","kwaebibirem",2011,9
"1840","kwaebibirem",2012,2
"1841","kwaebibirem",2013,1
"1842","kwaebibirem",2014,2
"1843","kwaebibirem",2015,1
"1844","kwaebibirem",2016,3
"1845","kwaebibirem",2017,2
"1846","kwaebibirem",2018,14
"1847","kwaebibirem",2019,10
"1848","kwaebibirem",2020,6
"1849","kwaebibirem",2021,7
"1850","kwaebibirem",2022,2
"1851","kwaebibirem",2023,4
"1852","kwaebibirem",2024,5
"1853","kwahu east",2005,2
"1854","kwahu east",2006,2
"1855","kwahu east",2010,1
"1856","kwahu east",2011,1
"1857","kwahu east",2012,1
"1858","kwahu east",2013,1
"1859","kwahu east",2014,1
"1860","kwahu east",2017,4
"1861","kwahu east",2018,4
"1862","kwahu east",2019,6
"1863","kwahu east",2020,2
"1864","kwahu east",2021,2
"1865","kwahu east",2023,3
"1866","kwahu east",2024,3
"1867","kwahu north",2011,4
"1868","kwahu north",2012,1
"1869","kwahu north",2013,7
"1870","kwahu north",2014,8
"1871","kwahu north",2015,1
"1872","kwahu north",2017,2
"1873","kwahu north",2018,3
"1874","kwahu north",2020,1
"1875","kwahu north",2021,3
"1876","kwahu north",2022,1
"1877","kwahu north",2024,8
"1878","kwahu south",2008,1
"1879","kwahu south",2013,5
"1880","kwahu south",2016,2
"1881","kwahu south",2017,1
"1882","kwahu south",2018,2
"1883","kwahu south",2020,1
"1884","kwahu south",2021,3
"1885","kwahu south",2022,3
"1886","kwahu south",2023,2
"1887","kwahu south",2024,1
"1888","kwahu west",2008,3
"1889","kwahu west",2009,1
"1890","kwahu west",2010,1
"1891","kwahu west",2012,3
"1892","kwahu west",2013,1
"1893","kwahu west",2015,2
"1894","kwahu west",2016,1
"1895","kwahu west",2018,3
"1896","kwahu west",2019,2
"1897","kwahu west",2020,2
"1898","kwahu west",2021,6
"1899","kwahu west",2022,7
"1900","kwahu west",2023,5
"1901","kwahu west",2024,4
"1902","la dade kotopon",2020,1
"1903","la dade kotopon",2021,2
"1904","la dade kotopon",2022,1
"1905","la dade kotopon",2023,2
"1906","la dade kotopon",2024,2
"1907","la nkwantanang madina",2019,3
"1908","la nkwantanang madina",2020,1
"1909","la nkwantanang madina",2021,2
"1910","la nkwantanang madina",2022,1
"1911","la nkwantanang madina",2023,2
"1912","la nkwantanang madina",2024,4
"1913","lambussie",2005,9
"1914","lambussie",2006,3
"1915","lambussie",2009,1
"1916","lambussie",2010,1
"1917","lambussie",2011,8
"1918","lambussie",2012,2
"1919","lambussie",2013,4
"1920","lambussie",2014,4
"1921","lambussie",2017,1
"1922","lambussie",2018,3
"1923","lambussie",2019,10
"1924","lambussie",2020,26
"1925","lambussie",2021,5
"1926","lambussie",2022,7
"1927","lambussie",2023,2
"1928","lambussie",2024,3
"1929","lawra",2005,60
"1930","lawra",2006,11
"1931","lawra",2008,1
"1932","lawra",2011,9
"1933","lawra",2012,6
"1934","lawra",2013,7
"1935","lawra",2014,4
"1936","lawra",2015,1
"1937","lawra",2017,2
"1938","lawra",2018,2
"1939","lawra",2019,3
"1940","lawra",2021,2
"1941","lawra",2022,2
"1942","lawra",2023,4
"1943","ledzokuku",2011,1
"1944","ledzokuku",2018,1
"1945","ledzokuku",2019,4
"1946","ledzokuku",2020,3
"1947","ledzokuku",2022,1
"1948","ledzokuku",2023,1
"1949","ledzokuku",2024,5
"1950","lower manya krobo",2005,1
"1951","lower manya krobo",2008,3
"1952","lower manya krobo",2009,2
"1953","lower manya krobo",2010,1
"1954","lower manya krobo",2011,8
"1955","lower manya krobo",2012,9
"1956","lower manya krobo",2013,5
"1957","lower manya krobo",2014,4
"1958","lower manya krobo",2015,2
"1959","lower manya krobo",2016,3
"1960","lower manya krobo",2017,2
"1961","lower manya krobo",2018,1
"1962","lower manya krobo",2019,4
"1963","lower manya krobo",2020,1
"1964","lower manya krobo",2021,3
"1965","lower manya krobo",2022,1
"1966","lower manya krobo",2023,2
"1967","lower manya krobo",2024,5
"1968","mamprugu moagduri",2005,3
"1969","mamprugu moagduri",2006,1
"1970","mamprugu moagduri",2011,12
"1971","mamprugu moagduri",2017,2
"1972","mamprugu moagduri",2020,2
"1973","mamprugu moagduri",2021,4
"1974","mamprugu moagduri",2022,3
"1975","mamprugu moagduri",2023,2
"1976","mamprugu moagduri",2024,3
"1977","mfantsiman",2005,2
"1978","mfantsiman",2006,1
"1979","mfantsiman",2009,2
"1980","mfantsiman",2010,1
"1981","mfantsiman",2011,4
"1982","mfantsiman",2012,1
"1983","mfantsiman",2014,3
"1984","mfantsiman",2015,1
"1985","mfantsiman",2016,1
"1986","mfantsiman",2017,2
"1987","mfantsiman",2018,1
"1988","mfantsiman",2020,2
"1989","mfantsiman",2021,5
"1990","mfantsiman",2022,4
"1991","mfantsiman",2023,6
"1992","mfantsiman",2024,6
"1993","mion",2005,2
"1994","mion",2006,2
"1995","mion",2008,1
"1996","mion",2011,1
"1997","mion",2017,4
"1998","mion",2020,7
"1999","mion",2021,7
"2000","mion",2022,3
"2001","mion",2023,6
"2002","mion",2024,2
"2003","mpohor",2012,1
"2004","mpohor",2014,2
"2005","mpohor",2015,1
"2006","mpohor",2017,3
"2007","mpohor",2018,1
"2008","mpohor",2019,2
"2009","mpohor",2020,1
"2010","mpohor",2021,1
"2011","mpohor",2022,2
"2012","mpohor",2023,2
"2013","mpohor",2024,2
"2014","nabdam",2005,1
"2015","nabdam",2009,5
"2016","nabdam",2010,1
"2017","nabdam",2011,4
"2018","nabdam",2014,3
"2019","nabdam",2016,2
"2020","nabdam",2017,5
"2021","nabdam",2018,6
"2022","nabdam",2019,4
"2023","nabdam",2020,8
"2024","nabdam",2021,3
"2025","nabdam",2022,2
"2026","nabdam",2023,1
"2027","nabdam",2024,4
"2028","nadowli kaleo",2012,3
"2029","nadowli kaleo",2013,4
"2030","nadowli kaleo",2014,8
"2031","nadowli kaleo",2015,4
"2032","nadowli kaleo",2016,1
"2033","nadowli kaleo",2017,4
"2034","nadowli kaleo",2018,1
"2035","nadowli kaleo",2019,6
"2036","nadowli kaleo",2020,1
"2037","nadowli kaleo",2021,6
"2038","nadowli kaleo",2022,6
"2039","nadowli kaleo",2023,9
"2040","nadowli kaleo",2024,2
"2041","nandom",2005,3
"2042","nandom",2006,2
"2043","nandom",2017,3
"2044","nandom",2018,1
"2045","nandom",2019,5
"2046","nandom",2021,1
"2047","nandom",2022,4
"2048","nandom",2023,2
"2049","nandom",2024,5
"2050","nanton",2006,1
"2051","nanton",2008,2
"2052","nanton",2009,1
"2053","nanton",2010,6
"2054","nanton",2011,1
"2055","nanton",2016,1
"2056","nanton",2017,4
"2057","nanton",2020,1
"2058","nanton",2021,2
"2059","nanton",2022,3
"2060","nanton",2023,3
"2061","nanton",2024,2
"2062","nanumba north",2005,1
"2063","nanumba north",2006,1
"2064","nanumba north",2008,2
"2065","nanumba north",2009,5
"2066","nanumba north",2010,3
"2067","nanumba north",2014,1
"2068","nanumba north",2016,1
"2069","nanumba north",2017,1
"2070","nanumba north",2018,5
"2071","nanumba north",2019,7
"2072","nanumba north",2020,5
"2073","nanumba north",2021,3
"2074","nanumba north",2022,12
"2075","nanumba north",2023,4
"2076","nanumba north",2024,7
"2077","nanumba south",2006,2
"2078","nanumba south",2010,1
"2079","nanumba south",2011,1
"2080","nanumba south",2014,4
"2081","nanumba south",2015,9
"2082","nanumba south",2016,1
"2083","nanumba south",2018,2
"2084","nanumba south",2019,2
"2085","nanumba south",2021,1
"2086","nanumba south",2022,1
"2087","nanumba south",2023,3
"2088","nanumba south",2024,2
"2089","new juaben north",2011,1
"2090","new juaben north",2012,1
"2091","new juaben north",2013,2
"2092","new juaben north",2014,4
"2093","new juaben north",2015,1
"2094","new juaben north",2016,1
"2095","new juaben north",2017,5
"2096","new juaben north",2020,1
"2097","new juaben north",2021,3
"2098","new juaben north",2022,3
"2099","new juaben north",2023,1
"2100","new juaben north",2024,2
"2101","new juaben south",2018,4
"2102","new juaben south",2019,2
"2103","new juaben south",2020,1
"2104","new juaben south",2022,2
"2105","new juaben south",2023,1
"2106","new juaben south",2024,6
"2107","ningo prampram",2008,3
"2108","ningo prampram",2009,2
"2109","ningo prampram",2010,1
"2110","ningo prampram",2011,1
"2111","ningo prampram",2017,3
"2112","ningo prampram",2018,8
"2113","ningo prampram",2019,3
"2114","ningo prampram",2021,5
"2115","ningo prampram",2022,2
"2116","ningo prampram",2024,1
"2117","nkoranza north",2005,3
"2118","nkoranza north",2006,2
"2119","nkoranza north",2010,7
"2120","nkoranza north",2011,19
"2121","nkoranza north",2012,5
"2122","nkoranza north",2013,9
"2123","nkoranza north",2014,9
"2124","nkoranza north",2015,4
"2125","nkoranza north",2016,16
"2126","nkoranza north",2017,30
"2127","nkoranza north",2018,41
"2128","nkoranza north",2019,12
"2129","nkoranza north",2020,5
"2130","nkoranza north",2021,5
"2131","nkoranza north",2022,10
"2132","nkoranza north",2023,4
"2133","nkoranza north",2024,9
"2134","nkoranza south",2010,1
"2135","nkoranza south",2011,2
"2136","nkoranza south",2012,1
"2137","nkoranza south",2013,3
"2138","nkoranza south",2014,5
"2139","nkoranza south",2016,5
"2140","nkoranza south",2017,5
"2141","nkoranza south",2018,7
"2142","nkoranza south",2019,9
"2143","nkoranza south",2020,15
"2144","nkoranza south",2021,27
"2145","nkoranza south",2022,15
"2146","nkoranza south",2023,13
"2147","nkoranza south",2024,10
"2148","nkwanta north",2005,5
"2149","nkwanta north",2009,1
"2150","nkwanta north",2010,2
"2151","nkwanta north",2011,1
"2152","nkwanta north",2014,2
"2153","nkwanta north",2015,3
"2154","nkwanta north",2016,2
"2155","nkwanta north",2017,2
"2156","nkwanta north",2018,2
"2157","nkwanta north",2019,6
"2158","nkwanta north",2020,3
"2159","nkwanta north",2023,7
"2160","nkwanta north",2024,8
"2161","nkwanta south",2008,1
"2162","nkwanta south",2009,1
"2163","nkwanta south",2010,1
"2164","nkwanta south",2011,1
"2165","nkwanta south",2013,3
"2166","nkwanta south",2015,2
"2167","nkwanta south",2016,2
"2168","nkwanta south",2017,15
"2169","nkwanta south",2018,1
"2170","nkwanta south",2019,7
"2171","nkwanta south",2021,2
"2172","nkwanta south",2022,4
"2173","nkwanta south",2023,3
"2174","nkwanta south",2024,6
"2175","north dayi",2015,2
"2176","north dayi",2017,6
"2177","north dayi",2018,5
"2178","north dayi",2019,7
"2179","north dayi",2020,3
"2180","north dayi",2021,3
"2181","north dayi",2022,4
"2182","north dayi",2023,1
"2183","north dayi",2024,3
"2184","north east gonja",2020,2
"2185","north east gonja",2021,15
"2186","north east gonja",2022,2
"2187","north east gonja",2023,4
"2188","north east gonja",2024,3
"2189","north gonja",2008,1
"2190","north gonja",2009,1
"2191","north gonja",2010,5
"2192","north gonja",2011,22
"2193","north gonja",2017,4
"2194","north gonja",2020,2
"2195","north gonja",2021,17
"2196","north gonja",2022,5
"2197","north gonja",2023,15
"2198","north gonja",2024,12
"2199","north tongu",2012,2
"2200","north tongu",2013,1
"2201","north tongu",2014,1
"2202","north tongu",2015,1
"2203","north tongu",2017,1
"2204","north tongu",2018,3
"2205","north tongu",2019,7
"2206","north tongu",2020,2
"2207","north tongu",2021,2
"2208","north tongu",2023,7
"2209","north tongu",2024,7
"2210","nsawam adoagyiri",2016,3
"2211","nsawam adoagyiri",2018,6
"2212","nsawam adoagyiri",2019,4
"2213","nsawam adoagyiri",2020,4
"2214","nsawam adoagyiri",2021,6
"2215","nsawam adoagyiri",2022,4
"2216","nsawam adoagyiri",2023,3
"2217","nsawam adoagyiri",2024,4
"2218","nzema east",2014,2
"2219","nzema east",2016,3
"2220","nzema east",2018,2
"2221","nzema east",2019,2
"2222","nzema east",2020,1
"2223","nzema east",2021,8
"2224","nzema east",2022,5
"2225","nzema east",2023,2
"2226","nzema east",2024,6
"2227","obuasi",2005,16
"2228","obuasi",2006,3
"2229","obuasi",2008,2
"2230","obuasi",2010,7
"2231","obuasi",2011,2
"2232","obuasi",2014,2
"2233","obuasi",2018,3
"2234","obuasi",2019,1
"2235","obuasi",2020,1
"2236","obuasi",2021,4
"2237","obuasi",2022,2
"2238","obuasi",2023,1
"2239","obuasi",2024,1
"2240","obuasi east",2021,2
"2241","obuasi east",2022,3
"2242","obuasi east",2024,3
"2243","offinso",2005,3
"2244","offinso",2006,3
"2245","offinso",2009,6
"2246","offinso",2010,4
"2247","offinso",2011,1
"2248","offinso",2018,4
"2249","offinso",2019,3
"2250","offinso",2020,1
"2251","offinso",2021,3
"2252","offinso",2022,3
"2253","offinso",2024,5
"2254","offinso north",2010,2
"2255","offinso north",2011,6
"2256","offinso north",2012,9
"2257","offinso north",2013,6
"2258","offinso north",2015,1
"2259","offinso north",2017,2
"2260","offinso north",2018,7
"2261","offinso north",2019,4
"2262","offinso north",2020,1
"2263","offinso north",2021,3
"2264","offinso north",2022,11
"2265","offinso north",2023,7
"2266","offinso north",2024,3
"2267","oforikrom",2021,1
"2268","oforikrom",2022,5
"2269","oforikrom",2024,2
"2270","okai koi north",2019,1
"2271","okai koi north",2020,4
"2272","okai koi north",2021,6
"2273","okai koi north",2022,2
"2274","okai koi north",2023,4
"2275","okai koi north",2024,1
"2276","okere",2021,3
"2277","okere",2022,2
"2278","okere",2023,1
"2279","okere",2024,3
"2280","old tafo",2021,2
"2281","old tafo",2022,3
"2282","old tafo",2023,1
"2283","old tafo",2024,4
"2284","prestea huni valley",2005,1
"2285","prestea huni valley",2006,1
"2286","prestea huni valley",2010,2
"2287","prestea huni valley",2014,2
"2288","prestea huni valley",2016,2
"2289","prestea huni valley",2017,4
"2290","prestea huni valley",2018,10
"2291","prestea huni valley",2019,10
"2292","prestea huni valley",2020,8
"2293","prestea huni valley",2021,8
"2294","prestea huni valley",2022,7
"2295","prestea huni valley",2023,6
"2296","prestea huni valley",2024,2
"2297","pru",2005,1
"2298","pru",2008,2
"2299","pru",2010,3
"2300","pru",2011,3
"2301","pru",2012,3
"2302","pru",2013,1
"2303","pru",2014,2
"2304","pru",2015,3
"2305","pru",2016,2
"2306","pru",2017,1
"2307","pru",2018,3
"2308","pru",2019,4
"2309","pru",2021,2
"2310","pru",2023,1
"2311","pru west",2019,6
"2312","pru west",2020,2
"2313","pru west",2021,3
"2314","pru west",2022,5
"2315","pusiga",2014,4
"2316","pusiga",2016,1
"2317","pusiga",2017,1
"2318","pusiga",2018,3
"2319","pusiga",2019,16
"2320","pusiga",2020,29
"2321","pusiga",2021,58
"2322","pusiga",2022,26
"2323","pusiga",2023,3
"2324","pusiga",2024,6
"2325","saboba",2009,1
"2326","saboba",2010,1
"2327","saboba",2012,3
"2328","saboba",2016,2
"2329","saboba",2017,2
"2330","saboba",2018,2
"2331","saboba",2019,5
"2332","saboba",2020,6
"2333","saboba",2021,3
"2334","saboba",2022,3
"2335","saboba",2023,3
"2336","saboba",2024,7
"2337","sagnarigu",2005,10
"2338","sagnarigu",2006,4
"2339","sagnarigu",2008,2
"2340","sagnarigu",2011,5
"2341","sagnarigu",2017,1
"2342","sagnarigu",2020,2
"2343","sagnarigu",2022,2
"2344","sagnarigu",2023,2
"2345","sagnarigu",2024,2
"2346","savelugu",2018,2
"2347","savelugu",2019,2
"2348","savelugu",2020,4
"2349","savelugu",2021,4
"2350","savelugu",2022,2
"2351","savelugu",2023,1
"2352","savelugu",2024,2
"2353","sawla tuna kalba",2005,5
"2354","sawla tuna kalba",2006,1
"2355","sawla tuna kalba",2008,5
"2356","sawla tuna kalba",2009,1
"2357","sawla tuna kalba",2010,2
"2358","sawla tuna kalba",2011,21
"2359","sawla tuna kalba",2013,4
"2360","sawla tuna kalba",2014,1
"2361","sawla tuna kalba",2016,2
"2362","sawla tuna kalba",2018,3
"2363","sawla tuna kalba",2019,3
"2364","sawla tuna kalba",2020,7
"2365","sawla tuna kalba",2021,16
"2366","sawla tuna kalba",2022,8
"2367","sawla tuna kalba",2023,6
"2368","sawla tuna kalba",2024,12
"2369","sefwi akontombra",2005,3
"2370","sefwi akontombra",2006,7
"2371","sefwi akontombra",2011,1
"2372","sefwi akontombra",2012,1
"2373","sefwi akontombra",2013,1
"2374","sefwi akontombra",2014,2
"2375","sefwi akontombra",2015,2
"2376","sefwi akontombra",2017,5
"2377","sefwi akontombra",2018,7
"2378","sefwi akontombra",2019,9
"2379","sefwi akontombra",2020,4
"2380","sefwi akontombra",2021,5
"2381","sefwi akontombra",2022,1
"2382","sefwi akontombra",2023,2
"2383","sefwi akontombra",2024,4
"2384","sefwi wiawso",2005,1
"2385","sefwi wiawso",2008,2
"2386","sefwi wiawso",2010,2
"2387","sefwi wiawso",2012,1
"2388","sefwi wiawso",2013,1
"2389","sefwi wiawso",2014,3
"2390","sefwi wiawso",2015,2
"2391","sefwi wiawso",2017,6
"2392","sefwi wiawso",2018,1
"2393","sefwi wiawso",2019,2
"2394","sefwi wiawso",2021,2
"2395","sefwi wiawso",2022,3
"2396","sefwi wiawso",2023,2
"2397","sefwi wiawso",2024,5
"2398","sekondi takoradi",2005,2
"2399","sekondi takoradi",2006,3
"2400","sekondi takoradi",2008,1
"2401","sekondi takoradi",2014,2
"2402","sekondi takoradi",2018,8
"2403","sekondi takoradi",2019,6
"2404","sekondi takoradi",2020,1
"2405","sekondi takoradi",2021,3
"2406","sekondi takoradi",2022,2
"2407","sekondi takoradi",2023,1
"2408","sekondi takoradi",2024,20
"2409","sekyere afram plains",2005,3
"2410","sekyere afram plains",2006,1
"2411","sekyere afram plains",2009,3
"2412","sekyere afram plains",2011,6
"2413","sekyere afram plains",2012,1
"2414","sekyere afram plains",2013,1
"2415","sekyere afram plains",2014,5
"2416","sekyere afram plains",2016,1
"2417","sekyere afram plains",2017,4
"2418","sekyere afram plains",2018,7
"2419","sekyere afram plains",2019,4
"2420","sekyere afram plains",2020,2
"2421","sekyere afram plains",2021,5
"2422","sekyere afram plains",2022,15
"2423","sekyere afram plains",2023,6
"2424","sekyere afram plains",2024,8
"2425","sekyere central",2008,1
"2426","sekyere central",2010,3
"2427","sekyere central",2011,2
"2428","sekyere central",2012,2
"2429","sekyere central",2017,2
"2430","sekyere central",2018,8
"2431","sekyere central",2019,2
"2432","sekyere central",2021,1
"2433","sekyere central",2022,1
"2434","sekyere central",2023,1
"2435","sekyere central",2024,1
"2436","sekyere east",2008,2
"2437","sekyere east",2009,1
"2438","sekyere east",2011,8
"2439","sekyere east",2014,2
"2440","sekyere east",2015,1
"2441","sekyere east",2016,2
"2442","sekyere east",2018,3
"2443","sekyere east",2019,2
"2444","sekyere east",2020,3
"2445","sekyere east",2021,1
"2446","sekyere east",2022,4
"2447","sekyere east",2023,2
"2448","sekyere east",2024,2
"2449","sekyere kumawu",2017,2
"2450","sekyere kumawu",2020,1
"2451","sekyere kumawu",2021,3
"2452","sekyere kumawu",2022,2
"2453","sekyere kumawu",2023,5
"2454","sekyere kumawu",2024,6
"2455","sekyere south",2006,4
"2456","sekyere south",2011,4
"2457","sekyere south",2012,6
"2458","sekyere south",2013,2
"2459","sekyere south",2018,4
"2460","sekyere south",2019,2
"2461","sekyere south",2021,4
"2462","sekyere south",2022,3
"2463","sekyere south",2023,1
"2464","sekyere south",2024,2
"2465","sene east",2005,4
"2466","sene east",2006,17
"2467","sene east",2008,5
"2468","sene east",2009,3
"2469","sene east",2010,1
"2470","sene east",2011,2
"2471","sene east",2013,1
"2472","sene east",2014,4
"2473","sene east",2015,2
"2474","sene east",2016,3
"2475","sene east",2017,4
"2476","sene east",2018,11
"2477","sene east",2019,5
"2478","sene east",2020,3
"2479","sene east",2021,3
"2480","sene east",2022,6
"2481","sene east",2023,9
"2482","sene east",2024,6
"2483","sene west",2012,2
"2484","sene west",2013,6
"2485","sene west",2014,2
"2486","sene west",2015,2
"2487","sene west",2016,5
"2488","sene west",2017,6
"2489","sene west",2018,6
"2490","sene west",2019,5
"2491","sene west",2020,4
"2492","sene west",2021,3
"2493","sene west",2024,2
"2494","shai osudoku",2012,1
"2495","shai osudoku",2013,6
"2496","shai osudoku",2017,1
"2497","shai osudoku",2019,1
"2498","shai osudoku",2021,4
"2499","shai osudoku",2022,3
"2500","shai osudoku",2023,1
"2501","shai osudoku",2024,1
"2502","shama",2010,2
"2503","shama",2015,2
"2504","shama",2016,3
"2505","shama",2017,1
"2506","shama",2018,3
"2507","shama",2019,5
"2508","shama",2020,3
"2509","shama",2021,13
"2510","shama",2022,4
"2511","shama",2023,7
"2512","shama",2024,4
"2513","sissala east",2005,7
"2514","sissala east",2011,2
"2515","sissala east",2012,1
"2516","sissala east",2013,2
"2517","sissala east",2015,4
"2518","sissala east",2016,1
"2519","sissala east",2017,2
"2520","sissala east",2018,1
"2521","sissala east",2019,16
"2522","sissala east",2020,5
"2523","sissala east",2021,9
"2524","sissala east",2022,9
"2525","sissala east",2023,8
"2526","sissala east",2024,7
"2527","sissala west",2006,1
"2528","sissala west",2011,5
"2529","sissala west",2013,3
"2530","sissala west",2015,2
"2531","sissala west",2017,4
"2532","sissala west",2018,1
"2533","sissala west",2019,27
"2534","sissala west",2020,20
"2535","sissala west",2021,32
"2536","sissala west",2022,51
"2537","sissala west",2023,52
"2538","sissala west",2024,43
"2539","south dayi",2010,2
"2540","south dayi",2011,1
"2541","south dayi",2014,3
"2542","south dayi",2015,4
"2543","south dayi",2016,2
"2544","south dayi",2017,5
"2545","south dayi",2018,3
"2546","south dayi",2019,5
"2547","south dayi",2020,3
"2548","south dayi",2021,2
"2549","south dayi",2022,3
"2550","south dayi",2023,1
"2551","south dayi",2024,3
"2552","south tongu",2005,1
"2553","south tongu",2010,1
"2554","south tongu",2015,1
"2555","south tongu",2017,2
"2556","south tongu",2018,9
"2557","south tongu",2019,3
"2558","south tongu",2020,4
"2559","south tongu",2021,2
"2560","south tongu",2022,4
"2561","south tongu",2023,3
"2562","south tongu",2024,2
"2563","suaman",2014,2
"2564","suaman",2015,4
"2565","suaman",2016,6
"2566","suaman",2017,5
"2567","suaman",2018,7
"2568","suaman",2021,1
"2569","suaman",2022,1
"2570","suaman",2023,6
"2571","suaman",2024,1
"2572","suame",2021,6
"2573","suame",2022,1
"2574","suame",2023,4
"2575","suhum",2012,2
"2576","suhum",2014,1
"2577","suhum",2016,3
"2578","suhum",2017,5
"2579","suhum",2018,2
"2580","suhum",2019,11
"2581","suhum",2020,4
"2582","suhum",2021,2
"2583","suhum",2022,4
"2584","suhum",2023,6
"2585","suhum",2024,2
"2586","sunyani municipal",2005,5
"2587","sunyani municipal",2006,4
"2588","sunyani municipal",2008,4
"2589","sunyani municipal",2009,3
"2590","sunyani municipal",2010,1
